title,id
Sousei no Onmyouji,15459
Kyoukaisen-jou no Horizon,2088
Jormungand: Perfect Order,4914
Witch Craft Works,7686
Tensei shitara Slime Datta Ken,22668
Mayoi Neko Overrun!,900
Hiiro no Kakera,3076
Senjou no Valkyria,167
Freezing Vibration,6418
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,22314
Seikon no Qwaser II,1914
Sakamoto desu ga?,15588
Dimension W,13564
The Legend of Korra: Book 3 - Change,9571
Inou Battle wa Nichijou-kei no Naka de,9328
Blood+,193
Dragon Ball Super,12281
Ef: A Tale of Memories.,244
Hundred,12337
Kanon (2006),43
Big Order,14962
Devil Survivor 2 The Animation,5756
Otome Youkai Zakuro,1463
DRAMAtical Murder,8476
Bungou Stray Dogs 2nd Season,16536
Death March kara Hajimaru Isekai Kyousoukyoku,18357
Romeo x Juliet,884
Nazo no Kanojo X,3291
Isshuukan Friends.,8371
Ghost Hunt,273
Zombie-Loan,775
Kurokami the Animation,84
Shugo Chara!! Doki,623
Asura Cryin',163
Chihayafuru,2086
Shingeki no Kyojin Season 3,20715
Choujigen Game Neptune The Animation,6298
RWBY,7174
Muv-Luv Alternative: Total Eclipse,4169
Eromanga-sensei,16033
Canaan,6
Golden Boy: Sasurai no Yenkyou Yarou,78
Yu☆Gi☆Oh! Duel Monsters GX,868
Isekai Maou to Shoukan Shoujo Dorei Majutsu,22505
Aishiteruze Baby★★,169
Aquarion Evol,2368
Kuusen Madoushi Kouhosei no Kyoukan,9629
The Legend of Korra: Book 4 - Balance,10046
Yuru Yuri,1975
Tales of Zestiria the X,13511
Soul Eater Not!,8319
Busou Shoujo Machiavellianism,17172
Amagami SS plus,2358
Pokémon,1831
Kobato.,421
Blade & Soul,8278
Taimadou Gakuen 35 Shiken Shoutai,10613
True Tears,168
Digimon Savers,235
Monster,478
Durarara!!x2 Ten,10747
Koukyoushi Hen Eureka Seven,50
Gakkougurashi!,10229
Sakura Trick,7099
JoJo no Kimyou na Bouken,4916
Aoki Hagane no Arpeggio: Ars Nova,6639
Robotics;Notes,3368
Kimi ga Nozomu Eien,413
Mangaka-san to Assistant-san to The Animation,8359
Nanatsu no Taizai: Seisen no Shirushi,14663
Makai Ouji: Devils and Realist,6051
Nichijou,1876
Kenpuu Denki Berserk,101
Area no Kishi,2141
Isekai wa Smartphone to Tomo ni.,18898
Medaka Box Abnormal,4915
School Rumble,593
